file_id,hour,minute,second
18-49-04-2,18,49,04
18-49-04-3,18,49,04
18-49-08,18,49,08
18-49-09-1,18,49,09
18-49-09-2,18,49,09
18-49-16,18,49,16
18-49-19,18,49,19
18-49-21,18,49,21
18-49-28,18,49,28
18-49-29-1,18,49,29
18-49-29-2,18,49,29
18-49-31-1,18,49,31
18-49-31-2,18,49,31
18-49-32-1,18,49,32
18-49-32-2,18,49,32
18-49-34-1,18,49,34
18-49-34-2,18,49,34
18-49-34-3,18,49,34
18-49-37-1,18,49,37
18-49-37-2,18,49,37
18-49-37-3,18,49,37
18-49-37-4,18,49,37
18-49-38-1,18,49,38
18-49-38-2,18,49,38
18-49-39,18,49,39
18-49-41,18,49,41
18-49-44,18,49,44
18-49-45,18,49,45
18-49-46,18,49,46
18-49-52-1,18,49,52
18-49-52-2,18,49,52
18-49-54,18,49,54
18-49-55,18,49,55
18-49-57,18,49,57
18-49-59,18,49,59
18-50-00,18,50,00
18-50-02-1,18,50,02
18-50-02-2,18,50,02
18-50-04-1,18,50,04
18-50-04-2,18,50,04
18-50-05,18,50,05
18-50-06,18,50,06
18-50-09-1,18,50,09
18-50-09-2,18,50,09
18-50-12-1,18,50,12
18-50-12-2,18,50,12
18-50-13,18,50,13
18-50-14,18,50,14
18-50-20,18,50,20
18-50-35-1,18,50,35
18-50-35-2,18,50,35
18-50-39,18,50,39
18-50-40-1,18,50,40
18-50-40-2,18,50,40
18-50-43,18,50,43
18-50-49,18,50,49
18-50-52-1,18,50,52
18-50-52-2,18,50,52
18-50-54-1,18,50,54
18-50-54-2,18,50,54
18-50-58,18,50,58
18-51-01-1,18,51,01
18-51-01-2,18,51,01
18-51-10-1,18,51,10
18-51-10-2,18,51,10
18-51-15,18,51,15
18-51-16,18,51,16
18-51-19-1,18,51,19
18-51-19-2,18,51,19
18-51-26,18,51,26
18-51-29,18,51,29
18-51-30-1,18,51,30
18-51-30-2,18,51,30
18-51-34,18,51,34
18-51-35,18,51,35
